budget_id,user_id,income_id,needs_amount,wants_amount,investment_amount,income_amount,budget_limit,source,income_date
BGT01352,USR053,INC06728,3400000,2250000,1600000,7250000,5650000,salary,2023-01-10 00:38
BGT06784,USR016,INC00797,650000,400000,300000,1400000,1050000,scholarship,2024-05-25 12:49
BGT05527,USR050,INC01634,2150000,1150000,550000,3800000,3300000,freelance,2023-04-25 15:24
BGT02948,USR013,INC08009,600000,350000,250000,1200000,950000,scholarship,2023-07-21 06:16
BGT03140,USR038,INC06623,2550000,1450000,950000,4950000,4000000,freelance,2024-04-07 04:12
BGT03778,USR026,INC08808,1000000,500000,350000,,1500000,FREELANCE,2024-12-26 09:41
BGT01706,USR026,INC01374,1900000,1150000,650000,3700000,3050000,freelance,2024-11-20 09:55
BGT01104,USR068,INC06927,4350000,2700000,1650000,8700000,7050000,freelance,2024-04-30 16:24
BGT07466,USR040,INC00896,1500000,1100000,650000,3300000,2600000,freelance,2024-11-29 03:02
BGT06381,USR056,INC00068,3450000,2350000,1550000,7350000,5800000,business,2023/11/15 17:55
BGT02716,USR064,INC07291,4700000,2550000,1300000,8550000,7250000,bonus,2023-03-31 09:31
BGT09094,USR013,INC09837,650000,500000,300000,1450000,1150000,scholarship,2023-06-23 12:06
BGT07765,USR059,INC03771,1950000,1350000,1150000,4450000,3300000,business,2024-09-13 00:58
BGT05174,USR050,INC03311,3600000,2000000,1300000,6900000,5600000,business,
BGT05419,USR050,INC09112,2450000,1300000,1000000,4750000,4750000,business,2024-03-12 05:21
BGT04426,USR042,INC04036,3700000,2450000,1450000,7600000,6150000,freelance,2024-02-25 04:30
BGT07838,USR069,INC04524,3650000,1850000,1350000,6850000,5500000,freelance,2024-02-15 04:25
BGT06692,USR022,INC03399,1700000,1050000,650000,3400000,2750000,allowance,18/10/2023 08:02
BGT03932,USR002,INC02227,600000,450000,300000,1350000.00,1050000,part_time,2023-04-04 07:05
BGT06756,USR064,INC01568,2500000,1500000,1000000,5050000,4000000,salary,2023-03-02 15:04
BGT08555,USR019,INC08024,1350000,850000,700000,2900000,2200000,part_time,2024-04-07 04:06
BGT01089,USR020,INC01207,1350000,750000,500000,2550000rb,2100000,part_time,2024-02-24 05:16
BGT09208,USR073,INC01304,4800000,2800000,2400000,,7600000,freelance,2023-04-11 21:57
BGT07385,USR051,INC09047,1750000,1050000,700000,3500000,2800000,salary,2023-12-29 11:31
BGT03180,USR010,INC05291,1150000,700000,350000,2250000,1850000,allowance,2023-04-21 04:28
BGT03709,USR043,INC00388,2150000,1250000,600000,4000000,3400000,salary,2024-06-01 07:11
BGT04545,USR065,INC08947,2600000,1600000,600000,4800000,4200000,investment_return,
BGT08608,USR069,INC03524,4350000,2800000,2150000,9300000,7150000,business,2024-11-19 21:44
BGT01888,USR040,INC03741,2300000,1250000,1000000,4550000,3550000,part_time,2023-08-17 06:17
BGT06991,USR027,INC09270,2200000,1400000,,4300000,3600000,internship,2023-05-09 00:06
BGT04373,USR062,INC02051,2900000,1950000,1000000,5850000,4850000,salary,2024-08-13 13:45
BGT07357,USR038,INC01275,1650000,1000000rb,550000,3150000,2650000,freelance,2023-04-07 22:22
BGT09262,USR051,INC04123,3200000,2300000,1750000,7250000,5500000,business,2024-08-26 01:21
BGT00175,USR006,INC09691,1000000,500000,500000,2000000,1500000,allowance,2024-01-02 13:09
BGT06759,USR012,INC01522,1500000,800000,,2850000,2300000,scholarship,2024-01-04 13:03
BGT06235,USR053,INC09665,2200000,1350000,1100000,4650000,3550000,salary,2023-07-26 23:08
BGT04162,USR037,INC09109,1400000,700000,400000,2500000,2100000,allowance,2023-02-01 22:54
BGT04353,USR020,INC05695,950000,500000,300000,1750000,1450000,allowance,2023-03-30 23:47
BGT07576,USR050,INC01365,3350000,2050000,,6350000,5400000,salary,2023-01-23 09:55
BGT08491,USR066,INC07111,5350000,2900000rb,1450000,9750000,8250000,business,2024-06-06 10:50
BGT02633,USR062,INC01144,4150000,2500000,1150000,7800000,6650000,business,2023-08-30 20:48
BGT00400,USR073,INC05312,4200000,,2300000,9550000,7250000,bonus,2023/07/21 22:54
BGT03992,USR024,INC03760,1450000,700000,550000,2700000,2150000,part_time,2023-01-30 23:28
BGT04115,USR002,INC09745,600000,400000,250000,1300000,1000000,scholarship,2023-04-28 01:09
BGT01349,USR029,INC05204,1700000,1150000,1000000,3850000,2850000,allowance,2023-06-21 21:26
BGT06486,USR039,INC04027,1900000,1100000,550000,3550000,3000000,freelance,28/12/2023 02:17
BGT05351,USR030,INC02272,1550000,1050000,800000,3400000,2600000,internship,2023-08-25 15:26
BGT01142,USR047,INC05584,1900000,1250000,650000,3850000,3150000,freelance,2023-07-28 02:09
BGT02798,USR006,INC07516,1050000,650000,550000,2250000,1700000,scholarship,2023-12-07 11:48
BGT07905,USR007,INC00561,1300000,900000,550000,2750000,2200000,part_time,2023-05-13 23:28
BGT07293,USR014,INC08302,1500000,850000,300000,2650000,2350000,allowance,2024-06-16 01:02
BGT00699,USR014,INC01549,550000,350000,,1300000,900000,scholarship,2024-09-02 02:26
BGT01963,USR053,INC03324,2050000,1000000,700000,3750000,3050000,bonus,2023-07-02 17:26
BGT09893,USR058,INC07857,2750000,1650000,750000,5150000,4400000,salary,2024-07-18 11:21
BGT07882,USR004,INC05157,1150000,700000,500000,2350000,1850000,allowance,2024-01-20 07:16
BGT03655,USR008,INC04915,1100000,800000,600000,2500000,1900000,part_time,2023-08-02 21:35
BGT06391,USR075,INC05053,4650000,3000000,,9650000,7650000,investment_return,2023-09-03 19:47
BGT01639,USR051,INC09683,1400000,850000,850000,3100000,2250000,salary,2024-10-24 15:55
BGT07427,USR012,INC00772,750000,400000,250000,,1150000,part_time,2023-10-26 14:35
BGT01591,USR011,INC01302,500000,350000,250000,1100000,850000,part_time,2023-07-24 10:58
BGT02007,USR037,INC00607,900000,,300000,1650000,1350000,allowance,2023-04-10 05:06
BGT05262,USR012,INC08768,1150000,600000,350000,2100000,1750000,allowance,2023-05-21 02:07
BGT09507,USR010,INC00889,1250000,750000,350000,2400000,2000000,scholarship,2023-07-20 23:32
BGT05707,USR049,INC03730,3900000,2250000,1650000,7750000,6150000,salary,2024-08-31 03:02
BGT09165,USR014,INC05215,700000,500000,350000,1550000,1200000,part_time,2023-06-19 06:08
BGT08101,USR022,INC05222,1700000,1100000,900000,3650000,2800000,,2024-09-06 15:36
BGT06714,USR051,INC09925,2350000,1200000,650000,4200000,3550000,bonus,2024-09-05 09:38
BGT03018,USR029,INC02343,1900000,1300000,850000,4000000,3200000,part_time,2023-05-26 06:53
BGT07358,USR022,INC08656,1300000,800000,350000,2450000,2100000,freelance,2024-05-20 17:17
BGT05546,USR035,INC09949,,550000,350000,1900000,1550000,allowance,2024-07-02 07:04
BGT09600,USR044,INC06575,1700000,900000,850000,3450000,2600000,salary,2024-02-18 06:36
BGT08548,USR009,INC06476,1300000,850000,500000,2700000,2150000,allowance,2023-05-20 15:27
BGT08123,USR024,INC08223,1400000,750000,550000,,2150000,allowance,2024-08-03 00:16
BGT09495,USR009,INC07153,900000,550000,400000,1850000,1450000,part_time,2023-06-06 06:24
BGT04003,USR074,INC07076,4600000,2800000,1850000,,7400000,business,2024-01-10 05:15
BGT08100,USR012,INC02519,550000,400000,250000,1200000rb,950000,allowance,2024-03-09 09:08
BGT00987,USR020,INC02207,1300000,800000,600000,2700000,2100000,scholarship,2023-10-26 06:59
BGT05054,USR029,INC03453,1000000,600000,350000,1950000,1600000,part_time,2023-11-05 00:06
BGT08776,USR010,INC05030,850000,500000,200000,1600000,1350000,allowance,2024-03-08 11:39
BGT08435,USR015,INC00156,1400000,950000,700000,3000000,2350000,allowance,2024-02-15 01:37
BGT01082,USR047,INC01676,3750000,2150000,1450000,7350000,5900000,salary,2023-10-17 13:33
BGT06580,USR034,INC03984,1500000,900000,800000,3150000,2400000,part_time,2024-07-12 06:57
BGT06045,USR067,INC09937,2200000,1400000,800000,4350000,3600000,business,2023-12-28 19:26
BGT00130,USR011,INC06546,600000,350000rb,300000,1250000,950000,allowance,2023-07-03 08:15
BGT08057,USR023,INC06776,1850000,1000000,650000,3500000,2850000,freelance,2023-12-23 15:03
BGT09304,USR003,INC04850,900000,500000,350000,1750000,1400000,allowance,2023-08-16 16:42
BGT02466,USR010,INC06024,950000,500000,300000,1750000,1450000,part_time,2023-11-06 15:07
BGT08380,USR026,INC00408,950000,600000,250000,1800000,1550000,internship,2023-03-27 08:25
BGT05492,USR050,INC00347,3900000,2450000,1600000,,6350000,bonus,2024-03-21 02:43
BGT02003,USR007,INC07421,1550000,850000,450000,2850000,2400000,scholarship,2024-09-17 17:54
BGT01560,USR006,INC03360,1350000,800000,450000,2600000,2150000,allowance,2024-11-19 11:11
BGT05726,USR004,INC04237,1400000,800000,750000,2950000,2200000,allowance,2023-02-02 04:08
BGT06786,USR053,INC02987,1700000,1000000,,3350000,2700000,bonus,2024-08-28 13:22
BGT03069,USR063,INC01447,4800000,3350000,1650000,9800000,8150000,business,2024-10-05 06:59
BGT04676,USR007,INC06085,900000,600000,400000,1900000rb,1500000,allowance,2024-09-06 14:33
BGT05838,USR043,INC00314,1700000,1000000,450000,3150000,2700000,freelance,2023-04-30 10:11
BGT02780,USR019,INC09232,1100000,750000,600000,2450000,1850000,scholarship,2024-12-02 17:47
BGT09118,USR011,INC05886,1100000,,500000,2300000,1850000,allowance,2023-04-13 01:33
BGT06831,USR007,INC03158,800000,450000,350000,1600000,1250000,allowance,2024-08-18 20:16
BGT09329,USR037,INC07329,2400000,1600000,900000,4900000,4000000,allowance,2024-12-22 20:00
BGT09137,USR006,INC04325,-850000,500000,300000,1650000,1350000,allowance,2024-12-05 15:48
BGT01343,USR036,INC06701,1850000,,1050000,4000000,2950000,part_time,2023-10-25 18:11
BGT06941,USR063,INC01323,3550000,2100000,900000,6600000,5650000,business,2024-05-06 19:06
BGT02593,USR024,INC00223,1900000,1150000,450000,3550000.00,3050000,freelance,2023-08-29 13:23
BGT05378,USR002,INC08968,1150000,800000,500000,2500000,1950000,part_time,2024-06-21 05:56
