rule_id,active,priority,match_type,canonical_merchant,alias_keywords,negative_keywords,category_primary,category_detail,merchant_type,rule_strength,ambiguity_level,validator_action,min_model_confidence_accept,max_model_confidence_override,amount_min,amount_max,amount_action,payment_method_hint,payment_media_hint,source_hint,notes,version
GENERIC_EDUCATION_SPP_UKT_SEKOLAH_KULIAH,True,99,contains,Biaya Pendidikan Formal,spp|ukt|uang kuliah|biaya kuliah|biaya sekolah|bayar sekolah|daftar ulang sekolah|registrasi kuliah|semester fee|tuition|uang semester|administrasi sekolah|administrasi kampus,,Wants,education,Formal Education Payment,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Pembayaran pendidikan formal.,v7_generic_transaction
GENERIC_EDUCATION_TOKO_BUKU_ATK,True,99,contains,Toko Buku / ATK,toko buku|bookstore|toko atk|toko alat tulis|stationery store,,Wants,education,Bookstore / Stationery Specific,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Mengalahkan rule toko generic.,v7_generic_transaction
GENERIC_ENTERTAINMENT_STREAMING_SUBSCRIPTION,True,99,contains,Streaming Subscription,netflix|spotify|youtube premium|disney plus|disney+|vidio|viu|iqiyi|prime video|hbo go|apple music|joox|subscription streaming|langganan streaming,,Wants,entertainment,Digital Entertainment Subscription,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Langganan hiburan digital.,v7_generic_transaction
FOOD_KOPI_CAFE_BEVERAGE_GENERIC_ENHANCED,True,99,contains,Generic Cafe / Kopi / Beverage,kopi|coffee|coffe|cofee|cafe|café|kafe|kedai kopi|coffee shop|kopitiam|roastery|espresso|latte|cappuccino|mocha|manual brew|kopi susu|es kopi|boba|bubble tea|milk tea|thai tea|es teh|jus|juice|smoothies,coffee table|coffee maker|mesin kopi|biji kopi kiloan|alat kopi|toko elektronik,Needs,food,Cafe / Coffee / Beverage,strong,low,override_if_model_low_confidence,0.70,0.90,0.0,1000000.0,warning,,,,Rule tambahan untuk merchant cafe/kopi/minuman general agar tidak jatuh ke shopping/groceries.,v4-enhanced
FOOD_RESTO_RESTAURANT_GENERIC_ENHANCED,True,99,contains,Generic Restaurant / Rumah Makan,restoran|restaurant|resto|rumah makan|rm|kedai makan|tempat makan|depot makan|food court|kantin|angkringan|lesehan|lapo,hotel|apartment|apartemen|traveloka|booking|tiket|kereta|pesawat,Needs,food,Restaurant / Warung Makan,strong,low,override_if_model_low_confidence,0.70,0.90,0.0,1000000.0,warning,,,,Rule tambahan untuk merchant general restoran/rumah makan/kedai agar detail food menang.,v4-enhanced
GENERIC_FOOD_KOPERASI_KANTIN,True,99,contains,Kantin Koperasi,kantin koperasi|koperasi kantin|koperasi makan|koperasi makanan|kopma cafe|kopma kantin|kantin kopma|koperasi nasi|koperasi warung makan,,Needs,food,Cooperative Canteen / Food,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Koperasi yang konteksnya kantin atau makanan.,v7_generic_transaction
GENERIC_FOOD_KOPI_CAFE_EXPANDED,True,99,contains,Kopi / Cafe,kopi|coffee|cafe|kafe|kedai kopi|warung kopi|warkop|coffee shop|kopitiam|espresso|latte|cappuccino|americano|roastery|fore coffee|kopi kenangan|janji jiwa|starbucks|excelso|tuku,,Needs,food,Coffee Shop / Cafe,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Kopi/cafe harus food.,v7_generic_transaction
GENERIC_FOOD_MENU_INDONESIA_EXPANDED,True,99,contains,Menu Makanan Indonesia,nasi padang|nasi goreng|nasi uduk|nasi kuning|nasi campur|nasi ayam|ayam geprek|ayam penyet|ayam bakar|ayam goreng|bakso|baso|mie ayam|mi ayam|mie goreng|kwetiau|sate|soto|pecel lele|bubur ayam|ketoprak|gado gado|siomay|batagor|seblak|pempek|martabak|bakmi|rawon|gudeg|rendang|sop iga|bebek goreng,,Needs,food,Food Menu Keyword,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Keyword menu umum Indonesia.,v7_generic_transaction
GENERIC_FOOD_RESTO_WARUNG_EXPANDED,True,99,contains,Restoran / Warung Makan,warung makan|rumah makan|restoran|restaurant|resto|warteg|warung tegal|kedai makan|tempat makan|food court|kantin|depot makan|lesehan|angkringan|lapo|diner,,Needs,food,Restaurant / Warung,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Tempat makan umum.,v7_generic_transaction
GENERIC_FOOD_TOKO_ROTI_KUE,True,99,contains,Toko Roti / Kue,toko roti|toko kue|kedai roti|kedai kue|warung roti|bakery shop,,Needs,food,Bakery Specific,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Mengalahkan rule toko generic.,v7_generic_transaction
